OBJECTID,Join_Count,TARGET_FID,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc,NAME,STATE_NAME,STATE_FIPS,FIPS,SQMI,POPULATION,POP_SQMI,STATE_ABBR,COUNTY_FIP,Shape__Are,Shape__Len
1,1,40567,538,2000,10,31,2000-10-31,19:00:00,3,NE,31,57,0,0,0,0.03,0,40.47,-95.98,40.5,-95.98,2,40,0,Nemaha County,Nebraska,31,31127,409.6,7074,17.3,NE,127,0.111695065,1.638733794
2,1,40568,642,2000,10,31,2000-10-31,19:00:00,3,NE,31,58,2,0,0,1,0,41.33,-99.55,41.47,-99.55,12,250,0,Custer County,Nebraska,31,31041,2575.96,10545,4.1,NE,041,0.721980926,3.491965165
3,1,40569,10,2000,10,31,2000-10-31,19:35:00,3,NE,31,59,1,0,0,0.75,0,41.63,-99.4,41.8,-99.33,12,250,0,Custer County,Nebraska,31,31041,2575.96,10545,4.1,NE,041,0.721980926,3.491965165
4,2,40607,546,2000,11,5,2000-11-05,17:48:00,3,NE,31,60,0,0,0,0,0,40.33,-98.52,40.33,-98.52,0.1,20,0,Adams County,Nebraska,31,31001,564.23,31205,55.3,NE,001,0.161161716,1.615331593
5,1,40908,737,2000,4,26,2000-04-26,16:10:00,3,NE,31,1,1,0,0,0.2,0,42.68,-98.88,42.77,-98.83,6,50,0,Holt County,Nebraska,31,31089,2417.5,10127,4.2,NE,089,0.689681613,3.34509411
6,1,40909,738,2000,4,26,2000-04-26,16:40:00,3,NE,31,2,0,0,0,0,0,42.63,-98.65,42.63,-98.65,2,20,0,Holt County,Nebraska,31,31089,2417.5,10127,4.2,NE,089,0.689681613,3.34509411
7,1,40910,739,2000,4,26,2000-04-26,16:50:00,3,NE,31,3,1,0,0,0.02,0,42.48,-98.47,42.48,-98.47,0.1,30,0,Holt County,Nebraska,31,31089,2417.5,10127,4.2,NE,089,0.689681613,3.34509411
8,1,40911,144,2000,4,26,2000-04-26,18:05:00,3,NE,31,4,0,0,0,0.002,0,42.18,-98.1,42.17,-98,4.5,50,0,Antelope County,Nebraska,31,31003,858.59,6295,7.3,NE,003,0.238229399,1.957648041
9,2,40912,145,2000,4,26,2000-04-26,18:30:00,3,NE,31,5,0,0,0,0,0,42.1,-97.83,42.1,-97.83,0.1,30,0,Antelope County,Nebraska,31,31003,858.59,6295,7.3,NE,003,0.238229399,1.957648041
10,1,41011,779,2000,5,17,2000-05-17,14:45:00,3,NE,31,8,1,0,0,0.1,0,40.85,-101.15,40.88,-101.17,2,50,0,Lincoln County,Nebraska,31,31111,2575.12,34676,13.5,NE,111,0.715835408,3.482079057
11,1,41022,780,2000,5,17,2000-05-17,15:41:00,3,NE,31,9,0,0,0,0,0,40.77,-100.37,40.77,-100.37,2,50,0,Lincoln County,Nebraska,31,31111,2575.12,34676,13.5,NE,111,0.715835408,3.482079057
12,1,41024,781,2000,5,17,2000-05-17,15:57:00,3,NE,31,10,0,0,0,0,0,41.17,-101.12,41.17,-101.12,0.1,0,0,Lincoln County,Nebraska,31,31111,2575.12,34676,13.5,NE,111,0.715835408,3.482079057
13,1,41027,782,2000,5,17,2000-05-17,16:15:00,3,NE,31,11,3,2,0,0.75,0,40.95,-100.37,41.03,-100.53,11.5,1000,0,Lincoln County,Nebraska,31,31111,2575.12,34676,13.5,NE,111,0.715835408,3.482079057
14,1,41028,233,2000,5,17,2000-05-17,16:30:00,3,NE,31,12,0,0,0,0,0,41.7,-97.37,41.7,-97.37,0.2,30,0,Platte County,Nebraska,31,31141,684.59,34296,50.1,NE,141,0.193153555,1.935254286
15,2,41074,234,2000,5,20,2000-05-20,14:30:00,3,NE,31,13,0,0,0,0,0,41.73,-97.58,41.73,-97.58,0.5,50,0,Madison County,Nebraska,31,31119,575.45,35585,61.8,NE,119,0.16269924,1.628759236
16,1,41162,235,2000,5,29,2000-05-29,22:00:00,3,NE,31,14,0,0,0,0,0,41.68,-97.5,41.68,-97.5,0.1,50,0,Platte County,Nebraska,31,31141,684.59,34296,50.1,NE,141,0.193153555,1.935254286
17,1,41188,243,2000,5,7,2000-05-07,16:19:00,3,NE,31,6,0,0,0,0,0,41.88,-103.65,41.88,-103.65,0.1,30,0,Scotts Bluff County,Nebraska,31,31157,745.56,36084,48.4,NE,157,0.204442931,1.977946973
18,1,41189,244,2000,5,7,2000-05-07,16:30:00,3,NE,31,7,0,0,0,0,0,41.88,-103.65,41.88,-103.65,0.1,30,0,Scotts Bluff County,Nebraska,31,31157,745.56,36084,48.4,NE,157,0.204442931,1.977946973
19,1,41211,1007,2000,6,11,2000-06-11,17:45:00,3,NE,31,19,0,0,0,0,0,40.78,-97.62,40.78,-97.63,0.5,0,0,York County,Nebraska,31,31185,575.83,14125,24.5,NE,185,0.156679485,1.599576952
20,1,41213,1008,2000,6,11,2000-06-11,18:00:00,3,NE,31,20,0,0,0,0,0,40.83,-97.63,40.83,-97.63,0.5,10,0,York County,Nebraska,31,31185,575.83,14125,24.5,NE,185,0.156679485,1.599576952
21,1,41214,1009,2000,6,11,2000-06-11,18:20:00,3,NE,31,21,0,0,0,0,0,41.02,-97.58,41.02,-97.58,0.5,10,0,York County,Nebraska,31,31185,575.83,14125,24.5,NE,185,0.156679485,1.599576952
22,1,41217,1010,2000,6,11,2000-06-11,21:59:00,3,NE,31,22,0,0,0,0,0,40.47,-97.72,40.48,-97.72,1,20,0,Fillmore County,Nebraska,31,31059,576.53,5551,9.6,NE,059,0.160931586,1.616936708
23,1,41226,961,2000,6,12,2000-06-12,19:55:00,3,NE,31,23,0,0,0,0,0,41.45,-100.2,41.45,-100.2,0.1,20,0,Custer County,Nebraska,31,31041,2575.96,10545,4.1,NE,041,0.721980926,3.491965165
24,1,41227,962,2000,6,12,2000-06-12,20:48:00,3,NE,31,24,0,0,0,0,0,41.4,-99.93,41.4,-99.93,0.1,20,0,Custer County,Nebraska,31,31041,2575.96,10545,4.1,NE,041,0.721980926,3.491965165
25,1,41228,319,2000,6,13,2000-06-13,14:04:00,3,NE,31,25,0,0,0,0,0,40.7,-96.18,40.72,-96.1,3,150,0,Otoe County,Nebraska,31,31131,619.02,15912,25.7,NE,131,0.169311415,1.914373888
26,1,41231,328,2000,6,13,2000-06-13,14:37:00,3,NE,31,26,0,0,0,0,0,40.6,-95.85,40.6,-95.85,0.1,40,0,Otoe County,Nebraska,31,31131,619.02,15912,25.7,NE,131,0.169311415,1.914373888
27,1,41232,327,2000,6,13,2000-06-13,14:54:00,3,NE,31,27,0,0,0,0,0,40.98,-96.4,40.98,-96.4,0.1,40,0,Cass County,Nebraska,31,31025,565.89,26598,47,NE,025,0.152105104,1.74574602
28,1,41233,323,2000,6,13,2000-06-13,15:00:00,3,NE,31,28,0,0,0,0,0,41.63,-96.72,41.62,-96.67,0.1,50,0,Dodge County,Nebraska,31,31053,543,37167,68.4,NE,053,0.151308526,1.769696686
29,1,41258,1011,2000,6,19,2000-06-19,18:17:00,3,NE,31,29,0,0,0,0,0,40.65,-99.37,40.65,-99.37,0.5,20,0,Phelps County,Nebraska,31,31137,540.43,8968,16.6,NE,137,0.153391412,1.589218838
30,1,41259,1012,2000,6,19,2000-06-19,18:25:00,3,NE,31,30,0,0,0,0,0,41.5,-99.05,41.5,-99.05,0.2,10,0,Valley County,Nebraska,31,31175,570.46,4059,7.1,NE,175,0.15646921,1.596523114
31,1,41260,326,2000,6,19,2000-06-19,19:27:00,3,NE,31,31,0,0,0,0,0,41.8,-97.78,41.8,-97.78,0.1,20,0,Madison County,Nebraska,31,31119,575.45,35585,61.8,NE,119,0.16269924,1.628759236
32,2,41294,396,2000,6,25,2000-06-25,12:35:00,3,NE,31,32,0,0,0,0.002,0,41.27,-98.12,41.27,-98.1,1,40,0,Merrick County,Nebraska,31,31121,496.78,7668,15.4,NE,121,0.135427402,2.335998593
33,1,41305,963,2000,6,29,2000-06-29,13:43:00,3,NE,31,33,0,0,0,0,0,41.93,-101.2,41.93,-101.2,0.1,20,0,Hooker County,Nebraska,31,31091,721.5,711,1,NE,091,0.202257542,1.861268842
34,1,41306,964,2000,6,29,2000-06-29,14:00:00,3,NE,31,34,0,0,0,0,0,41.88,-101.27,41.88,-101.27,0.1,20,0,Hooker County,Nebraska,31,31091,721.5,711,1,NE,091,0.202257542,1.861268842
35,1,41307,397,2000,6,29,2000-06-29,16:40:00,3,NE,31,35,0,0,0,0.03,0,40.72,-100.2,40.7,-100.2,0.8,20,0,Dawson County,Nebraska,31,31047,1019.43,24111,23.7,NE,047,0.282809934,2.341008457
36,1,41324,314,2000,6,3,2000-06-03,19:58:00,3,NE,31,15,0,0,0,0,0,42.35,-98.17,42.35,-98.17,0.1,10,0,Antelope County,Nebraska,31,31003,858.59,6295,7.3,NE,003,0.238229399,1.957648041
37,1,41325,315,2000,6,3,2000-06-03,20:15:00,3,NE,31,16,0,0,0,0,0,42.18,-97.78,42.18,-97.78,0.1,10,0,Pierce County,Nebraska,31,31139,574.59,7317,12.7,NE,139,0.165045922,1.639148621
38,1,41327,316,2000,6,3,2000-06-03,20:50:00,3,NE,31,17,0,0,0,0,0,42.38,-98.13,42.38,-98.13,0.1,10,0,Antelope County,Nebraska,31,31003,858.59,6295,7.3,NE,003,0.238229399,1.957648041
39,1,41328,317,2000,6,3,2000-06-03,21:25:00,3,NE,31,18,0,0,0,0,0,42.2,-97.85,42.08,-97.73,5,40,0,Antelope County,Nebraska,31,31003,858.59,6295,7.3,NE,003,0.238229399,1.957648041
40,1,41393,399,2000,7,20,2000-07-20,16:55:00,3,NE,31,39,0,0,0,0,0,40.48,-99.68,40.48,-99.68,0.1,10,0,Gosper County,Nebraska,31,31073,462.72,1893,4.1,NE,073,0.130403,1.584588279
41,1,41401,400,2000,7,21,2000-07-21,18:50:00,3,NE,31,40,0,0,0,0.04,0,41.53,-99,41.52,-99.02,2,30,0,Valley County,Nebraska,31,31175,570.46,4059,7.1,NE,175,0.15646921,1.596523114
42,2,41425,991,2000,7,24,2000-07-24,18:47:00,3,NE,31,41,1,0,0,0.08,0,42.63,-100.17,42.22,-100.18,22,350,0,Brown County,Nebraska,31,31017,1225.14,2903,2.4,NE,017,0.347910913,2.47525896
43,1,41463,359,2000,7,3,2000-07-03,18:10:00,3,NE,31,36,0,0,0,0,0,40.38,-100.58,40.38,-100.58,0.1,20,0,Frontier County,Nebraska,31,31063,980.08,2519,2.6,NE,063,0.272548761,2.293934279
44,1,41471,363,2000,7,5,2000-07-05,17:36:00,3,NE,31,37,0,0,0,0,0,41.75,-103.22,41.75,-103.22,0.1,30,0,Morrill County,Nebraska,31,31123,1430.06,4555,3.2,NE,123,0.401003747,2.573115826
45,1,41472,364,2000,7,5,2000-07-05,17:45:00,3,NE,31,38,0,0,0,0,0,41.55,-103.48,41.55,-103.48,0.3,40,0,Banner County,Nebraska,31,31007,746.19,674,0.9,NE,007,0.210779372,1.98163932
